time,open,high,low,close,funding
2020-02-20T08:00:00Z,9593.48,9639.27,9528.43,9578.61,24.621495670803405
2020-02-20T16:00:00Z,9578.63,9698.1,9393.39,9610.05,32.13320836220645
2020-02-21T00:00:00Z,9610.05,9747.78,9578.14,9690.07,10.17565816289423
2020-02-21T08:00:00Z,9690.07,9769.66,9621.69,9742.95,17.11574177765163
2020-02-21T16:00:00Z,9742.94,9766.56,9566.98,9695.66,27.665131719377676
2020-02-22T00:00:00Z,9695.66,9722.97,9575.01,9609.69,0.7584714641273305
2020-02-22T08:00:00Z,9604.67,9687.65,9604,9644.21,14.852998598937628
2020-02-22T16:00:00Z,9644.2,9709.99,9621.7,9668.23,26.249137400817133
2020-02-23T00:00:00Z,9668.23,9949,9667.13,9913.91,32.923952753711184
2020-02-23T08:00:00Z,9913.91,10025.66,9839.37,9893.05,38.954379849133744
2020-02-23T16:00:00Z,9891.78,10000,9870.17,9965.01,34.28839722765642
2020-02-24T00:00:00Z,9965,10030,9585,9753.05,28.606366745654753
2020-02-24T08:00:00Z,9756.97,9850.26,9669.69,9710.19,27.670597618787205
2020-02-24T16:00:00Z,9710.18,9735.13,9474.74,9660,28.825487729482347
2020-02-25T00:00:00Z,9660,9669.99,9489.72,9520.86,36.76492841001189
2020-02-25T08:00:00Z,9520.86,9681.56,9351.16,9380.27,32.24424939605308
2020-02-25T16:00:00Z,9381.41,9457.98,9230,9305,38.87392370965826
2020-02-26T00:00:00Z,9304.99,9375.36,9092.92,9137.77,12.301501827188254
2020-02-26T08:00:00Z,9135.09,9280,8955,8981.01,37.287847602978765
2020-02-26T16:00:00Z,8981.22,9017.94,8602,8778.3,32.346028597014964
2020-02-27T00:00:00Z,8778.3,8816.97,8520,8813.21,4.67553307403501
2020-02-27T08:00:00Z,8813.21,8942.35,8738.94,8849.19,20.684453947985237
2020-02-27T16:00:00Z,8849.19,8972.92,8667.69,8812.49,18.961391755453082
2020-02-28T00:00:00Z,8814.9,8899.94,8700.86,8728.69,27.943265896798298
2020-02-28T08:00:00Z,8728.68,8783.47,8428.8,8711.29,19.62752425505032
2020-02-28T16:00:00Z,8710.76,8813.12,8488.13,8708.89,32.091449617742015
2020-02-29T00:00:00Z,8708.61,8799,8676.59,8768.37,39.657555382102025
2020-02-29T08:00:00Z,8768.05,8778.65,8580.96,8661.73,30.261370152271596
2020-02-29T16:00:00Z,8661.73,8683.95,8520.67,8525.07,34.34284280999622
2020-03-01T00:00:00Z,8523.33,8671.56,8508.96,8537.91,29.812132549475457
2020-03-01T08:00:00Z,8536.94,8752.34,8520.4,8550.57,27.337045500761768
2020-03-01T16:00:00Z,8548.31,8581.25,8400,8522.31,31.795912395827575
2020-03-02T00:00:00Z,8522.3,8693.35,8487.33,8622.55,18.94710482661832
2020-03-02T08:00:00Z,8617.15,8888,8614.73,8829.99,19.107231356536026
2020-03-02T16:00:00Z,8829.99,8973.45,8825.91,8915,7.664326473816319
2020-03-03T00:00:00Z,8919.21,8927.45,8750,8758.72,8.256771352264881
2020-03-03T08:00:00Z,8756.83,8924.69,8674.09,8757.79,13.676370524358772
2020-03-03T16:00:00Z,8757.79,8796.55,8635.31,8757.84,8.646954732955404
2020-03-04T00:00:00Z,8757.83,8847,8727.24,8818.42,21.989401639914142
2020-03-04T08:00:00Z,8818.4,8830.99,8670.57,8706.93,14.491011601242887
