time,open,high,low,close,funding
2016-07-11T00:00:00Z,11,11.16,10.11,10.72,NaN
2016-07-12T00:00:00Z,10.65,10.98,10.5,10.57,NaN
2016-07-13T00:00:00Z,10.58,10.65,10.49,10.49,NaN
2016-07-14T00:00:00Z,10.5,11.78,10.33,11.62,NaN
2016-07-15T00:00:00Z,11.56,12.75,11.4,11.99,NaN
2016-07-16T00:00:00Z,11.98,12.4,11.79,11.8,NaN
2016-07-17T00:00:00Z,11.81,11.92,11.02,11.33,NaN
2016-07-18T00:00:00Z,11.27,11.93,11,11.05,NaN
2016-07-19T00:00:00Z,11.08,11.98,11.07,11.75,NaN
2016-07-20T00:00:00Z,11.7,13,11.22,12.5,NaN
2016-07-21T00:00:00Z,12.53,13.09,12.1,12.76,NaN
2016-07-22T00:00:00Z,12.76,15.11,12.73,14.83,NaN
2016-07-23T00:00:00Z,14.99,15.39,14,14.52,NaN
2016-07-24T00:00:00Z,14.52,14.57,12.05,12.78,NaN
2016-07-25T00:00:00Z,12.71,14.01,12.61,13.91,NaN
2016-07-26T00:00:00Z,13.93,13.95,11.88,12,NaN
2016-07-27T00:00:00Z,12,13.4,11.75,13.1,NaN
2016-07-28T00:00:00Z,13.1,13.14,12.53,12.93,NaN
2016-07-29T00:00:00Z,12.93,12.95,12.57,12.84,NaN
2016-07-30T00:00:00Z,12.84,12.88,12.49,12.49,NaN
2016-07-31T00:00:00Z,12.49,12.67,11.61,11.99,NaN
2016-08-01T00:00:00Z,11.98,12.12,10.8,10.95,NaN
2016-08-02T00:00:00Z,10.9,11.31,6.68,8.78,NaN
2016-08-03T00:00:00Z,8.68,10.78,8.54,10.68,NaN
2016-08-04T00:00:00Z,10.6,11.55,10.42,11.32,NaN
2016-08-05T00:00:00Z,11.3,11.4,10.81,11.18,NaN
2016-08-06T00:00:00Z,11.18,11.18,10.42,11.01,NaN
2016-08-07T00:00:00Z,11,11.25,10.84,10.99,NaN
2016-08-08T00:00:00Z,10.99,11.42,10.94,11.34,NaN
2016-08-09T00:00:00Z,11.33,12.48,11.24,12.28,NaN
2016-08-10T00:00:00Z,12.28,12.91,11.87,12.21,NaN
2016-08-11T00:00:00Z,12.22,12.39,11.6,11.73,NaN
2016-08-12T00:00:00Z,11.73,12.08,11.65,11.81,NaN
2016-08-13T00:00:00Z,11.8,11.86,11.54,11.61,NaN
2016-08-14T00:00:00Z,11.61,11.76,11.2,11.28,NaN
2016-08-15T00:00:00Z,11.28,11.52,11.02,11.3,NaN
2016-08-16T00:00:00Z,11.3,11.38,11,11.18,NaN
2016-08-17T00:00:00Z,11.18,11.26,10.69,10.82,NaN
2016-08-18T00:00:00Z,10.82,11.06,10.76,10.77,NaN
2016-08-19T00:00:00Z,10.77,10.86,10.65,10.77,NaN
2016-08-20T00:00:00Z,10.77,11.37,10.7,11.3,NaN
2016-08-21T00:00:00Z,11.3,11.3,10.98,11.21,NaN
